gene	role	axis	term	estimate	std_error_cluster_sample	p_cluster_sample	n_spots	n_clusters	padj_bh
IL11RA	receptor	IL11_gp130	C(Condition, Treatment(reference='Skin'))[T.Wound1]	-0.7508317773716486	0.0900565567276089	7.598288991036169e-17	22915	16	2.8493583716385632e-15
IL11RA	receptor	IL11_gp130	C(Condition, Treatment(reference='Skin'))[T.Wound30]	-0.09346188104332967	0.08047451223813211	0.2454854185610289	22915	16	0.33475284349231216
IL11RA	receptor	IL11_gp130	C(Condition, Treatment(reference='Skin'))[T.Wound7]	-0.6432785036980081	0.09793347917110881	5.081611094180089e-11	22915	16	7.622416641270135e-10
IL6	ligand	IL6_gp130	C(Condition, Treatment(reference='Skin'))[T.Wound1]	0.09659257800274819	0.02433709062572852	7.219149254388278e-05	22915	16	0.00041648938006086215
IL6	ligand	IL6_gp130	C(Condition, Treatment(reference='Skin'))[T.Wound30]	-0.04545921397980673	0.027375993546636914	0.09680380005742235	22915	16	0.1688438373094576
IL6	ligand	IL6_gp130	C(Condition, Treatment(reference='Skin'))[T.Wound7]	0.17117602779794439	0.11514602290612219	0.13712060224146289	22915	16	0.21880947166190887
IL6R	receptor	IL6_gp130	C(Condition, Treatment(reference='Skin'))[T.Wound1]	0.4555112689478484	0.06135496726404637	1.1346750016802114e-13	22915	16	2.1275156281503962e-12
IL6R	receptor	IL6_gp130	C(Condition, Treatment(reference='Skin'))[T.Wound30]	-0.06959774114045088	0.08149553156464034	0.3931012011677989	22915	16	0.4755256465739503
IL6R	receptor	IL6_gp130	C(Condition, Treatment(reference='Skin'))[T.Wound7]	0.18180859763357174	0.045090633257033684	5.528767104867781e-05	22915	16	0.0003455479440542363
IL6ST	receptor	IL11_gp130;IL6_gp130	C(Condition, Treatment(reference='Skin'))[T.Wound1]	-0.37183435493569206	0.14432666356117194	0.009985280946895396	22915	16	0.02773689151915388
IL6ST	receptor	IL11_gp130;IL6_gp130	C(Condition, Treatment(reference='Skin'))[T.Wound30]	-0.03849457732888587	0.1538040877975488	0.8023683573129753	22915	16	0.8132111729523398
IL6ST	receptor	IL11_gp130;IL6_gp130	C(Condition, Treatment(reference='Skin'))[T.Wound7]	-0.3059207558429597	0.2383599668796764	0.1993379089366637	22915	16	0.2875065994278803
INHBA	ligand	INHBA_activin_TGF_family	C(Condition, Treatment(reference='Skin'))[T.Wound1]	0.3674785665940848	0.09318822179087531	8.03340202395692e-05	22915	16	0.00043036082271197783
INHBA	ligand	INHBA_activin_TGF_family	C(Condition, Treatment(reference='Skin'))[T.Wound30]	0.28580550067199084	0.09301678152772945	0.0021218638015269224	22915	16	0.007578085005453294
INHBA	ligand	INHBA_activin_TGF_family	C(Condition, Treatment(reference='Skin'))[T.Wound7]	0.6782051194538801	0.08085663138253359	4.955393058964728e-17	22915	16	2.8493583716385632e-15
ITGA5	receptor	TNC_integrin_syndecan	C(Condition, Treatment(reference='Skin'))[T.Wound1]	0.5921914935760659	0.09697091877280534	1.015862203400407e-09	22915	16	9.523708156878816e-09
ITGA5	receptor	TNC_integrin_syndecan	C(Condition, Treatment(reference='Skin'))[T.Wound30]	0.3494682653680965	0.15362242550696614	0.022914816073565228	22915	16	0.05916561551336146
ITGA5	receptor	TNC_integrin_syndecan	C(Condition, Treatment(reference='Skin'))[T.Wound7]	0.6018839423885569	0.18393881804628448	0.0010671540797330661	22915	16	0.004074634511078313
ITGA8	receptor	TNC_integrin_syndecan	C(Condition, Treatment(reference='Skin'))[T.Wound1]	-0.10000973263925225	0.03307457573205871	0.0024965057392784926	22915	16	0.00814077958460378
ITGA8	receptor	TNC_integrin_syndecan	C(Condition, Treatment(reference='Skin'))[T.Wound30]	-0.01118369878062796	0.03570911805953064	0.7541371643382897	22915	16	0.7855595461857184
ITGA8	receptor	TNC_integrin_syndecan	C(Condition, Treatment(reference='Skin'))[T.Wound7]	-0.06840137734827106	0.03918863546868693	0.08090846134948956	22915	16	0.14800328295638335
ITGAV	receptor	TNC_integrin_syndecan	C(Condition, Treatment(reference='Skin'))[T.Wound1]	0.17910543148053998	0.1758610602433094	0.30846486757310565	22915	16	0.39887698393074006
ITGAV	receptor	TNC_integrin_syndecan	C(Condition, Treatment(reference='Skin'))[T.Wound30]	0.46159518674439987	0.2855895885434372	0.10603193761290082	22915	16	0.1807362572947173
ITGAV	receptor	TNC_integrin_syndecan	C(Condition, Treatment(reference='Skin'))[T.Wound7]	0.6183731124529128	0.17628630919512375	0.00045186715790106164	22915	16	0.001993531578975272
ITGB1	receptor	TNC_integrin_syndecan;THBS1_matrix_receptors	C(Condition, Treatment(reference='Skin'))[T.Wound1]	0.40488782861979355	0.2821801516350346	0.1513281917729943	22915	16	0.23645029964530362
ITGB1	receptor	TNC_integrin_syndecan;THBS1_matrix_receptors	C(Condition, Treatment(reference='Skin'))[T.Wound30]	0.6251537877275648	0.3050152628478609	0.040405239934067014	22915	16	0.09469978109546956
ITGB1	receptor	TNC_integrin_syndecan;THBS1_matrix_receptors	C(Condition, Treatment(reference='Skin'))[T.Wound7]	0.784619848312536	0.2804209791583128	0.005141900640349734	22915	16	0.016068439501092917
LRP1	receptor	THBS1_matrix_receptors;SERPINE1_LRP1	C(Condition, Treatment(reference='Skin'))[T.Wound1]	-1.9060868290115238	0.3927460720339553	1.2146697469064633e-06	22915	16	1.0122247890887195e-05
LRP1	receptor	THBS1_matrix_receptors;SERPINE1_LRP1	C(Condition, Treatment(reference='Skin'))[T.Wound30]	0.4303021273565546	0.4312558900569742	0.3183819731134002	22915	16	0.4047228471780511
LRP1	receptor	THBS1_matrix_receptors;SERPINE1_LRP1	C(Condition, Treatment(reference='Skin'))[T.Wound7]	-0.8607893205354226	0.436589324151187	0.0486527204311555	22915	16	0.10344800665668642
