feature	SRRS_4_equal	SRRS_3_no_receiver	SRRS_receiver_10pct	SRRS_receiver_20pct	SRRS_2_fibroblast_ligand	SRRS_3_no_d7	SRRS_3_no_ligand
SRRS_4_equal	1.0	0.9472527472527472	0.9692307692307692	0.9912087912087912	0.9516483516483516	0.9340659340659341	0.9912087912087912
SRRS_3_no_receiver	0.9472527472527472	1.0	0.9868131868131869	0.9648351648351648	0.9384615384615385	0.8065934065934066	0.9516483516483516
SRRS_receiver_10pct	0.9692307692307692	0.9868131868131869	1.0	0.9824175824175824	0.9472527472527472	0.8681318681318682	0.9692307692307692
SRRS_receiver_20pct	0.9912087912087912	0.9648351648351648	0.9824175824175824	1.0	0.9516483516483516	0.9120879120879121	0.9912087912087912
SRRS_2_fibroblast_ligand	0.9516483516483516	0.9384615384615385	0.9472527472527472	0.9516483516483516	1.0	0.8989010989010989	0.9384615384615385
SRRS_3_no_d7	0.9340659340659341	0.8065934065934066	0.8681318681318682	0.9120879120879121	0.8989010989010989	1.0	0.9208791208791208
SRRS_3_no_ligand	0.9912087912087912	0.9516483516483516	0.9692307692307692	0.9912087912087912	0.9384615384615385	0.9208791208791208	1.0
