condition	sample	fibroblast_cell_n	fibroblast_SRRS_mean	fibroblast_SRRS_high_fraction	fibroblast_SRRS_low_fraction	candidate_ligand_panel_mean	negative_housekeeping_control_z	fibroblast_repair_activation_mean	stromal_ligand_panel_mean	d7_acute_wound_alignment_mean
diabetic	07-d	1757	-0.3840393715778609	0.08252703471826978	0.39612976664769495	0.4981484480825553	0.27201870385745125	0.3956158532404586	0.49697311384054205	0.35094355199000404
diabetic	09-d	141	-0.32966890740904464	0.07801418439716312	0.3049645390070922	0.3634369339291931	-0.6575167778793192	0.4067658168807111	0.30564394610518436	0.47561535639809266
diabetic	10-d	56	0.05810708947801081	0.19642857142857142	0.10714285714285714	0.6821055961506709	0.027719759501075223	0.6092366273803143	0.83312948728846	0.4915648999587009
diabetic	13-d	1079	0.553785971742584	0.4902687673772011	0.03985171455050973	0.8552135245323844	0.2087786622487365	1.0006009163865726	1.2607076367344507	0.5532819936830486
diabetic	16-d	317	0.644337896458112	0.5583596214511041	0.10094637223974763	0.733043289602931	-0.328820862163349	1.2972966524534608	1.2731019515927444	0.4828861298881343
non diabetic	19-n	47	-0.8402267629083374	0.0425531914893617	0.7659574468085106	0.3650513796096152	0.3136174519043611	0.2978410021669648	0.2888519761208725	0.08638543004377275
non diabetic	19b-n	524	-0.18289490264772706	0.1431297709923664	0.26145038167938933	0.6714229043573141	-0.7804347764214861	0.5105012090494576	0.7909777397183881	0.3456396794301388
non diabetic	19c-n	396	0.1301108710930287	0.3282828282828283	0.2196969696969697	0.7218360524887991	-0.2868875358178519	0.8764287212079727	1.1184583461970141	0.30192720971702836
