model	term	estimate	std_error_cluster_sample	p_cluster_sample	n_spots	n_clusters	padj_bh
unadjusted	C(Condition, Treatment(reference='Skin'))[T.Wound1]	0.35002050224745873	0.12005847491438455	0.0035521373240357096	22915	16	0.004567033702331627
unadjusted	C(Condition, Treatment(reference='Skin'))[T.Wound7]	0.7087418832719184	0.17756324959053005	6.565953839553009e-05	22915	16	0.00011818716911195418
unadjusted	C(Condition, Treatment(reference='Skin'))[T.Wound30]	0.4538626495216916	0.13839204155237916	0.001039753679765394	22915	16	0.001559630519648091
adjusted	C(Condition, Treatment(reference='Skin'))[T.Wound1]	0.3489795820442468	0.0366861401743047	1.8600411927640176e-21	22915	16	1.674037073487616e-20
adjusted	C(Condition, Treatment(reference='Skin'))[T.Wound7]	0.44078108021167645	0.0663570323964465	3.082649872760219e-11	22915	16	9.247949618280659e-11
adjusted	C(Condition, Treatment(reference='Skin'))[T.Wound30]	0.11129313602192241	0.05125081468749333	0.02989046250432884	22915	16	0.03362677031736994
residual	C(Condition, Treatment(reference='Skin'))[T.Wound1]	0.3094022417228538	0.03847290723350407	8.832537085006474e-16	22915	16	3.974641688252914e-15
residual	C(Condition, Treatment(reference='Skin'))[T.Wound7]	0.40885601716732767	0.07230318140477747	1.5607827517842547e-08	22915	16	3.511761191514573e-08
residual	C(Condition, Treatment(reference='Skin'))[T.Wound30]	0.11900396582921521	0.05929593924042683	0.044755022048258666	22915	16	0.044755022048258666
