Condition	AnnoType	spots	high_spots	high_fraction	odds_ratio_high_spot_enrichment	p_fisher_greater	mean_SRRS	padj_bh
Skin	Basal_epi	124	116	0.9354838709677419	50.9717125382263	2.3982373263936264e-62	0.5861895450386634	5.3560633622790985e-61
Skin	Suprabasal_epi	247	139	0.562753036437247	4.485252685331925	5.290714308480975e-28	0.009660251861515878	5.9079643111370884e-27
Skin	Immune_endo	394	176	0.4467005076142132	2.8392796466190964	4.581160251413713e-20	-0.20194941496694624	4.384824812067411e-19
Skin	Sweat_gland	31	19	0.6129032258064516	4.838548601864181	1.8431071477088967e-05	0.016705087031761583	6.860454383138671e-05
Skin	Smooth_muscle	191	72	0.3769633507853403	1.8966073535431365	4.183400953102217e-05	-0.2857143778108169	0.00014751992834623607
Skin	LE	48	19	0.3958333333333333	1.9873272418384682	0.017767201563842826	-0.22586263793240416	0.04960010436572789
Skin	Dermis2	27	5	0.18518518518518517	0.6788472964943553	0.8435137814690316	-0.5312121187172332	1.0
Skin	Sebaceous_gland	28	4	0.14285714285714285	0.49673629242819844	0.9459568158478574	-0.6071723989221027	1.0
Skin	Immune	201	32	0.15920398009950248	0.5485479706868075	0.9995253226513587	-0.5376258358967746	1.0
Skin	Papillary_dermis	139	19	0.1366906474820144	0.46108521970705724	0.999730756045399	-0.6524382094149872	1.0
Skin	Wound_edges	254	41	0.16141732283464566	0.552908672887807	0.9998607756036273	-0.5339643639268814	1.0
Skin	Mast_cell	32	1	0.03125	0.09547380343135199	0.9999058349984882	-0.676150490650925	1.0
Skin	Sweatgland_FB	200	22	0.11	0.35178453403833443	0.9999999090321474	-0.631615049095924	1.0
Skin	FB2	621	91	0.14653784219001612	0.4493483758023731	0.9999999999989806	-0.5383791068447118	1.0
Skin	FB1	211	5	0.023696682464454975	0.06666032108636334	1.0	-0.7328306768493473	1.0
Skin	Dermis1	317	9	0.028391167192429023	0.07675734252606789	1.0	-0.769849788779911	1.0
Wound1	Immune_endo	689	334	0.4847605224963715	3.291867964544021	1.545073199650262e-45	0.4163796140370789	2.0703980875313512e-44
Wound1	Hair_follicle	85	56	0.6588235294117647	5.96251397505316	1.5162587254398568e-15	0.9133691073684695	1.1287703844941157e-14
Wound1	Smooth_muscle	235	112	0.4765957446808511	2.8589588994110113	1.668159447198131e-14	0.3053786401576093	1.1176668296227478e-13
Wound1	Sweat_gland	87	46	0.5287356321839081	3.4338936566876725	1.928936293623275e-08	0.5930097578245076	9.941440897904572e-08
Wound1	Wound_edges	655	211	0.32213740458015266	1.4886815588508113	7.0315177684971546e-06	0.11512251982758052	2.9444480655581835e-05
Wound1	Basal_epi	376	118	0.31382978723404253	1.40084855760598	0.002375819869544051	-0.14247470197634332	0.007235451420884154
Wound1	Sebaceous_gland	111	37	0.3333333333333333	1.5113065326633166	0.02920918680157137	-0.05129410988456581	0.07828062062821127
Wound1	Dermis2	64	21	0.328125	1.4708868448455397	0.09831465473765512	0.059626896229188195	0.2439659950897368
Wound1	Immune	687	175	0.2547307132459971	1.0282115070495186	0.39765719905545793	-0.007747996533532703	0.8325886709651917
Wound1	LE	125	29	0.232	0.9043619791666667	0.7132696430793766	-0.09496920202409101	1.0
Wound1	FB2	474	105	0.22151898734177214	0.843389240979024	0.9401297296922123	-0.03246547580301865	1.0
Wound1	Suprabasal_epi	582	121	0.20790378006872853	0.7701873450059552	0.9946175471319982	-0.28449002523890116	1.0
Wound1	Mast_cell	33	2	0.06060606060606061	0.19251739794198702	0.9991161321287079	-0.43001936893917464	1.0
Wound1	Papillary_dermis	200	32	0.16	0.5627217699853893	0.9993290314926854	-0.21347462094558484	1.0
Wound1	Sweatgland_FB	714	116	0.16246498599439776	0.5497593874271365	0.9999999990810077	-0.2942076317739852	1.0
Wound1	FB1	291	23	0.07903780068728522	0.2467751528781993	0.9999999999999962	-0.38110773663120834	1.0
Wound1	Dermis1	1107	91	0.08220415537488708	0.22537322220288133	1.0	-0.4127739757837968	1.0
Wound30	FB1	881	523	0.5936435868331441	5.745581767981978	1.2181213457029276e-120	0.5468563495900925	8.161413016209615e-119
Wound30	Basal_epi	237	177	0.7468354430379747	9.69388314059647	5.097329558898083e-60	0.9933031177029515	8.538027011154288e-59
Wound30	Immune_endo	1033	378	0.3659244917715392	1.9225969020973839	1.9875205239232643e-19	0.3556722100093481	1.664548438785734e-18
Wound30	Suprabasal_epi	307	117	0.3811074918566775	1.9052229811169143	1.444463356167761e-07	0.37854208371385756	6.451936324215999e-07
Wound30	Sweat_gland	48	26	0.5416666666666666	3.5816864295125166	1.3780012498983678e-05	0.5342283920666056	5.4309461025406264e-05
Wound30	LE	132	45	0.3409090909090909	1.5654201068479845	0.01155511594315108	0.24719238194478899	0.03366055513874445
Wound30	Smooth_muscle	233	64	0.27467811158798283	1.1408391853459314	0.20889874009346576	0.2336435126553628	0.4994193357626635
Wound30	Mast_cell	64	18	0.28125	1.1754330936640447	0.3252204656494023	0.12872399949919186	0.7263257066169986
Wound30	Hair_follicle	47	13	0.2765957446808511	1.1479052052475667	0.3902479656502686	0.037786634315097316	0.8325886709651917
Wound30	Wound_edges	355	91	0.2563380281690141	1.0356858054226474	0.41008098719181085	-0.03621403112144474	0.8325886709651917
Wound30	Dermis2	80	10	0.125	0.42533543804262036	0.998246618063213	-0.1079083880346722	1.0
