module	observed_delta_healer_minus_nonhealer	random_panel_n	random_mean_delta	random_sd_delta	empirical_p_random_ge_observed	n_genes
stromal_ligand_panel	0.377772675955031	1000	0.0188278170440121	0.03722056195477	0.000999000999000999	10
d7_acute_wound_alignment	0.250739670413548	1000	0.0181986205365866	0.0114095550851388	0.000999000999000999	100
fibroblast_repair_activation	0.387072499339177	1000	0.0192748887425901	0.0268775854873661	0.000999000999000999	19
