condition	sample	total_cells	fibroblast_cell_n	receiver_cell_n	fibroblast_repair_activation	stromal_ligand_panel	d7_acute_wound_alignment	vascular_perivascular_receiver_coupling	negative_housekeeping_control	fibroblast_cell_SRRS_mean	z_fibroblast_repair_activation	z_stromal_ligand_panel	z_vascular_perivascular_receiver_coupling	z_d7_acute_wound_alignment	SRRS_projected	negative_housekeeping_control_z
diabetic	07-d	9545	1757	1485	0.3956158532404586	0.49697311384054205	0.35094355199000404	0.12450170725129561	0.1622121261181611	-0.3840393715778609	-0.7962105794827533	-0.7422265234922786	-1.4525930926813388	-0.23485444405542566	-0.806471159927949	1.5620610155759689
diabetic	09-d	2086	141	940	0.4067658168807111	0.30564394610518436	0.47561535639809266	0.30354458557997255	-0.10915624115481709	-0.32966890740904464	-0.7643531168231049	-1.217163190121499	0.8453791335246056	0.599635381386987	-0.13412544800825288	-0.35626155679391514
diabetic	10-d	676	56	61	0.6092366273803143	0.83312948728846	0.4915648999587009	0.19066287349084554	-0.05221278433601257	0.05810708947801081	-0.18585739313536512	0.09221492294912365	-0.603430456942318	0.7063935364082405	0.002330152319920259	0.046275848954628024
diabetic	13-d	3865	1079	2001	1.0006009163865726	1.2607076367344507	0.5532819936830486	0.1984465058009716	0.051785022099886883	0.553785971742584	0.932341161192331	1.153592774664106	-0.503529410697777	1.1194964590246597	0.67547524604583	0.7814438479655632
diabetic	16-d	2854	317	653	1.2972966524534608	1.2731019515927444	0.4828861298881343	0.2763291525842107	-0.1466392774321286	0.644337896458112	1.7800545383826574	1.1843592001580647	0.49607560505014964	0.648302251408983	1.0271978987499637	-0.6212318453146652
non diabetic	19-n	3272	47	740	0.2978410021669648	0.2888519761208725	0.08638543004377275	0.25196451970682243	0.06641898089076893	-0.8402267629083374	-1.0755710121824222	-1.258845921222478	0.18336140956475017	-2.0056723290651948	-1.0391819632263362	0.8848923587621093
non diabetic	19b-n	1823	524	534	0.5105012090494576	0.7909777397183881	0.3456396794301388	0.36922647220102334	-0.20993795835689544	-0.18289490264772706	-0.4679623402138112	-0.012418420312039213	1.6883903307804058	-0.2703558768586522	0.23441342334897575	-1.0686947889121834
non diabetic	19c-n	3877	396	411	0.8764287212079727	1.1184583461970141	0.30192720971702836	0.18674982292615533	-0.23254206926811918	0.1301108710930287	0.5775587422624664	0.8004871573770004	-0.6536535185984785	-0.562944978249597	0.040361850697847784	-1.2284848802375061
