comparison	spearman_rho	p_spearman	n_samples
SRRS_projected_vs_vascular_perivascular_receiver_coupling	0.28571428571428575	0.49272624501695717	8
SRRS_projected_vs_fibroblast_cell_SRRS_mean	0.9285714285714287	0.0008629681828999767	8
