Donor	Condition	Sample_name	TNC_integrin_syndecan_axis_score	TNC_integrin_syndecan_ligand_score	TNC_integrin_syndecan_receptor_score	axis	IL11_gp130_axis_score	IL11_gp130_ligand_score	IL11_gp130_receptor_score	IL6_gp130_axis_score	IL6_gp130_ligand_score	IL6_gp130_receptor_score	INHBA_activin_TGF_family_axis_score	INHBA_activin_TGF_family_ligand_score	INHBA_activin_TGF_family_receptor_score	THBS1_matrix_receptors_axis_score	THBS1_matrix_receptors_ligand_score	THBS1_matrix_receptors_receptor_score	SERPINE1_LRP1_axis_score	SERPINE1_LRP1_ligand_score	SERPINE1_LRP1_receptor_score	CCL20_CCR6_axis_score	CCL20_CCR6_ligand_score	CCL20_CCR6_receptor_score
Donor3	Skin	Donor3_Skin				IL6_gp130				-0.17806918701429392	-0.12291265189266591	-0.23322572213592196												
Donor3	Wound1	Donor3_Wound1				IL6_gp130				-0.02963324194154517	-0.03153598561156426	-0.027730498271526106												
Donor3	Wound30	Donor3_Wound30				IL6_gp130				-0.0510770520644666	-0.11434296130138095	0.012188857172447734												
Donor3	Wound7	Donor3_Wound7				IL6_gp130				0.4248411075089225	0.7119233157495215	0.13775889926832352												
Donor4	Skin	Donor4_Skin				IL6_gp130				-0.12324637353537525	-0.12291265189266593	-0.1235800951780846												
Donor4	Wound1	Donor4_Wound1				IL6_gp130				0.14658342169518127	0.16362543339508723	0.12954140999527525												
Donor4	Wound30	Donor4_Wound30				IL6_gp130				-0.0462311027332534	-0.10999786781911743	0.017535662352610608												
Donor4	Wound7	Donor4_Wound7				IL6_gp130				0.14250872342390117	0.14226815124717188	0.14274929560063046												
Donor1	Skin	Donor1_Skin				INHBA_activin_TGF_family							-0.13560538346700285	-0.24512439817997472	-0.026086368754030944									
Donor1	Wound1	Donor1_Wound1				INHBA_activin_TGF_family							-0.1693371014292336	-0.21247153316571965	-0.12620266969274752									
Donor1	Wound30	Donor1_Wound30				INHBA_activin_TGF_family							-0.028491311441867943	-0.17210280164352512	0.11512017875978928									
Donor1	Wound7	Donor1_Wound7				INHBA_activin_TGF_family							0.1676894388960539	0.3192043989046907	0.016174478887417066									
Donor2	Skin	Donor2_Skin				INHBA_activin_TGF_family							-0.12113557066779009	-0.2593921081485652	0.017120966812985097									
Donor2	Wound1	Donor2_Wound1				INHBA_activin_TGF_family							-0.060718205763680484	-0.09581095598365953	-0.025625455543701405									
Donor2	Wound30	Donor2_Wound30				INHBA_activin_TGF_family							0.151942619698466	0.16422104696319886	0.1396641924337332									
Donor2	Wound7	Donor2_Wound7				INHBA_activin_TGF_family							-0.0353549223665187	-0.03146722427956345	-0.03924262045347391									
Donor3	Skin	Donor3_Skin				INHBA_activin_TGF_family							-0.19809501019631134	-0.26009696316651365	-0.13609305722610893									
Donor3	Wound1	Donor3_Wound1				INHBA_activin_TGF_family							-0.008505236340065302	0.06725044522247575	-0.08426091790260631									
Donor3	Wound30	Donor3_Wound30				INHBA_activin_TGF_family							-0.08500954289103348	-0.16409869791750928	-0.005920387864557631									
Donor3	Wound7	Donor3_Wound7				INHBA_activin_TGF_family							0.12412112742019522	0.18742036821826819	0.06082188662212228									
Donor4	Skin	Donor4_Skin				INHBA_activin_TGF_family							-0.12059618010613297	-0.1973685594414524	-0.04382380077081347									
Donor4	Wound1	Donor4_Wound1				INHBA_activin_TGF_family							-0.03675775692736225	-0.034948700350094494	-0.03856681350462998									
Donor4	Wound30	Donor4_Wound30				INHBA_activin_TGF_family							0.05835434271433863	0.12936507345231701	-0.012656388023639711									
Donor4	Wound7	Donor4_Wound7				INHBA_activin_TGF_family							0.22784175015271801	0.370543554897001	0.085139945408435									
Donor1	Skin	Donor1_Skin				THBS1_matrix_receptors										-0.19948737239272965	-0.4046823662792362	0.005707621493776943						
Donor1	Wound1	Donor1_Wound1				THBS1_matrix_receptors										-0.22995964244919936	-0.13956022438836693	-0.32035906051003177						
Donor1	Wound30	Donor1_Wound30				THBS1_matrix_receptors										-0.016230109489673628	-0.14691136838972269	0.11445114941037544						
Donor1	Wound7	Donor1_Wound7				THBS1_matrix_receptors										0.12220600525472945	0.0695989990622347	0.17481301144722425						
Donor2	Skin	Donor2_Skin				THBS1_matrix_receptors										-0.11315920635567561	-0.20469225092923288	-0.021626161782118312						
Donor2	Wound1	Donor2_Wound1				THBS1_matrix_receptors										0.11591161781336308	0.37495585076620364	-0.1431326151394774						
Donor2	Wound30	Donor2_Wound30				THBS1_matrix_receptors										0.2683820003396555	0.2564646693284862	0.2802993313508247						
Donor2	Wound7	Donor2_Wound7				THBS1_matrix_receptors										-0.23255303246832826	-0.3558999781678139	-0.10920608676884258						
Donor3	Skin	Donor3_Skin				THBS1_matrix_receptors										-0.39143872843494915	-0.4884002926428451	-0.2944771642270531						
Donor3	Wound1	Donor3_Wound1				THBS1_matrix_receptors										-0.1854155002649696	-0.14787335619611938	-0.22295764433381976						
Donor3	Wound30	Donor3_Wound30				THBS1_matrix_receptors										-0.19743179859352483	-0.3742446812708926	-0.020618915916157016						
